Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,TotalWorkingYears
41,No,Travel_Rarely,1411,Research & Development,Life Sciences,Male,36,Research Scientist,1,Divorced,3072,19877,2,No,17
40,No,Travel_Rarely,1300,Research & Development,Technical Degree,Male,62,Research Scientist,4,Divorced,3319,24447,1,No,9
45,No,Travel_Rarely,252,Research & Development,Other,Male,70,Manager,4,Married,19202,15970,0,No,25
31,No,Travel_Frequently,1327,Research & Development,Medical,Male,73,Research Director,3,Divorced,13675,13523,9,No,9
33,No,Travel_Rarely,832,Research & Development,Life Sciences,Female,63,Research Scientist,4,Married,2911,14776,1,No,2
34,No,Travel_Rarely,470,Research & Development,Life Sciences,Male,84,Manufacturing Director,1,Married,5957,23687,6,No,13
37,No,Travel_Rarely,1017,Research & Development,Medical,Female,83,Research Scientist,1,Married,3920,18697,2,No,17
45,No,Travel_Frequently,1199,Research & Development,Life Sciences,Male,77,Manufacturing Director,3,Married,6434,5118,4,No,9
37,Yes,Travel_Frequently,504,Research & Development,Medical,Male,61,Manufacturing Director,3,Divorced,10048,22573,6,No,17
39,No,Travel_Frequently,505,Research & Development,Technical Degree,Female,64,Healthcare Representative,3,Single,10938,6420,0,No,20
29,No,Travel_Rarely,665,Research & Development,Life Sciences,Male,60,Research Scientist,4,Single,2340,22673,1,No,6
42,No,Travel_Rarely,916,Research & Development,Life Sciences,Female,82,Research Scientist,1,Single,6545,23016,3,Yes,10
29,No,Travel_Rarely,1247,Sales,Marketing,Male,45,Sales Executive,4,Divorced,6931,10732,2,No,10
25,No,Travel_Rarely,685,Research & Development,Life Sciences,Female,62,Manufacturing Director,3,Married,4898,7505,0,No,5
42,No,Travel_Rarely,269,Research & Development,Medical,Female,56,Laboratory Technician,1,Divorced,2593,8007,0,Yes,10
40,No,Travel_Rarely,1416,Research & Development,Medical,Male,49,Research Director,3,Divorced,19436,5949,0,No,22
51,No,Travel_Rarely,833,Research & Development,Life Sciences,Male,96,Research Scientist,4,Married,2723,23231,1,No,1
31,Yes,Travel_Frequently,307,Research & Development,Medical,Male,71,Laboratory Technician,2,Single,3479,11652,0,No,6
32,No,Travel_Frequently,1311,Research & Development,Life Sciences,Male,100,Laboratory Technician,2,Married,2794,26062,1,No,5
38,No,Non-Travel,1327,Sales,Life Sciences,Male,39,Sales Executive,4,Married,5249,19682,3,No,13
32,No,Travel_Rarely,128,Research & Development,Technical Degree,Male,84,Laboratory Technician,1,Single,2176,19737,4,No,9
46,No,Travel_Rarely,488,Sales,Technical Degree,Female,75,Manager,2,Married,16872,14977,3,Yes,28
28,Yes,Travel_Rarely,529,Research & Development,Life Sciences,Male,79,Laboratory Technician,3,Single,3485,14935,2,No,5
29,No,Travel_Rarely,1210,Sales,Medical,Male,78,Sales Executive,2,Married,6644,3687,2,No,10
31,No,Travel_Rarely,1463,Research & Development,Medical,Male,64,Healthcare Representative,4,Married,5582,14408,0,No,10
25,No,Non-Travel,675,Research & Development,Life Sciences,Male,85,Healthcare Representative,1,Divorced,4000,18384,1,No,6
45,No,Travel_Rarely,1385,Research & Development,Medical,Male,79,Healthcare Representative,4,Married,13496,7501,0,Yes,21
36,No,Travel_Rarely,1403,Research & Development,Life Sciences,Male,47,Laboratory Technician,4,Married,3210,20251,0,No,16
55,No,Travel_Rarely,452,Research & Development,Medical,Male,81,Manager,1,Single,19045,18938,0,Yes,37
47,Yes,Non-Travel,666,Research & Development,Life Sciences,Male,88,Manager,2,Married,11849,10268,1,Yes,10
28,No,Travel_Rarely,1158,Research & Development,Medical,Male,94,Research Scientist,4,Married,2070,2613,1,No,5
37,No,Travel_Rarely,228,Sales,Medical,Male,98,Sales Executive,4,Married,6502,22825,4,No,7
21,No,Travel_Rarely,996,Research & Development,Medical,Male,100,Research Scientist,3,Single,3230,10531,1,No,3
37,No,Non-Travel,728,Research & Development,Medical,Female,80,Research Director,4,Divorced,13603,11677,2,Yes,15
35,No,Travel_Rarely,1315,Research & Development,Life Sciences,Female,71,Manager,2,Divorced,11996,19100,7,No,10
38,No,Travel_Rarely,322,Sales,Medical,Female,44,Sales Executive,1,Divorced,5605,19191,1,Yes,8
26,No,Travel_Frequently,1479,Research & Development,Life Sciences,Female,84,Manufacturing Director,2,Divorced,6397,26767,1,No,6
50,No,Travel_Rarely,797,Research & Development,Life Sciences,Male,96,Research Director,2,Divorced,19144,15815,3,No,28
53,No,Travel_Rarely,1070,Research & Development,Medical,Male,45,Research Director,3,Married,17584,21016,3,Yes,21
42,No,Travel_Rarely,635,Sales,Life Sciences,Male,99,Sales Executive,3,Married,4907,24532,1,No,20
29,No,Travel_Frequently,442,Sales,Life Sciences,Male,44,Sales Executive,4,Single,4554,20260,1,No,10
55,No,Travel_Rarely,147,Research & Development,Technical Degree,Male,37,Laboratory Technician,4,Married,5415,15972,3,Yes,12
26,No,Travel_Frequently,496,Research & Development,Medical,Male,60,Healthcare Representative,1,Married,4741,22722,1,Yes,5
37,No,Travel_Rarely,1372,Research & Development,Life Sciences,Female,42,Research Scientist,4,Single,2115,15881,1,No,17
44,Yes,Travel_Frequently,920,Research & Development,Life Sciences,Male,43,Laboratory Technician,3,Divorced,3161,19920,3,Yes,19
38,No,Travel_Rarely,688,Research & Development,Life Sciences,Male,82,Healthcare Representative,4,Divorced,5745,18899,9,No,10
26,Yes,Travel_Rarely,1449,Research & Development,Medical,Male,45,Laboratory Technician,2,Divorced,2373,14180,2,Yes,5
28,No,Travel_Rarely,1117,Research & Development,Life Sciences,Female,66,Research Scientist,4,Single,3310,4488,1,No,5
49,No,Travel_Frequently,636,Research & Development,Life Sciences,Female,35,Research Director,1,Single,18665,25594,9,Yes,22
36,No,Travel_Rarely,506,Research & Development,Technical Degree,Male,30,Research Scientist,2,Single,4485,26285,4,No,10
31,No,Travel_Frequently,444,Sales,Marketing,Female,84,Sales Representative,2,Divorced,2789,3909,1,No,2
26,Yes,Travel_Rarely,950,Sales,Marketing,Male,48,Sales Executive,4,Single,5828,8450,1,Yes,8
37,No,Travel_Frequently,889,Research & Development,Medical,Male,53,Research Scientist,4,Married,2326,11411,1,Yes,4
42,No,Travel_Frequently,555,Sales,Marketing,Female,77,Sales Executive,2,Married,13525,14864,5,No,23
18,Yes,Travel_Rarely,230,Research & Development,Life Sciences,Male,54,Laboratory Technician,3,Single,1420,25233,1,No,0
35,No,Travel_Rarely,1232,Sales,Marketing,Male,96,Sales Executive,2,Married,8020,5100,0,No,12
36,No,Travel_Frequently,566,Research & Development,Life Sciences,Male,81,Laboratory Technician,4,Married,3688,7122,4,No,4
51,No,Travel_Rarely,1302,Research & Development,Medical,Male,84,Manufacturing Director,2,Divorced,5482,16321,5,No,13
41,No,Travel_Rarely,334,Sales,Life Sciences,Male,88,Manager,2,Single,16015,15896,1,No,22
18,No,Travel_Rarely,812,Sales,Medical,Female,69,Sales Representative,3,Single,1200,9724,1,No,0
28,No,Travel_Rarely,1476,Research & Development,Medical,Male,68,Healthcare Representative,1,Single,5661,4824,0,No,9
31,No,Travel_Rarely,218,Sales,Technical Degree,Male,100,Sales Executive,4,Married,6929,12241,4,No,10
39,No,Travel_Rarely,1132,Research & Development,Medical,Male,48,Healthcare Representative,4,Divorced,9613,10942,0,No,19
36,No,Non-Travel,1105,Research & Development,Life Sciences,Female,47,Laboratory Technician,2,Married,5674,6927,7,No,11
32,No,Travel_Rarely,906,Sales,Life Sciences,Male,91,Sales Executive,3,Married,5484,16985,1,No,13
38,No,Travel_Rarely,849,Research & Development,Life Sciences,Female,81,Research Director,2,Married,12061,26707,3,No,19
58,No,Non-Travel,390,Research & Development,Life Sciences,Male,32,Healthcare Representative,3,Divorced,5660,17056,2,Yes,12
31,No,Travel_Rarely,691,Research & Development,Technical Degree,Male,86,Research Scientist,4,Married,4821,10077,0,Yes,6
31,No,Travel_Rarely,106,Human Resources,Human Resources,Male,62,Human Resources,1,Married,6410,17822,3,No,9
45,No,Travel_Frequently,1249,Research & Development,Life Sciences,Male,97,Laboratory Technician,1,Divorced,5210,20308,1,No,24
31,No,Travel_Rarely,192,Research & Development,Life Sciences,Male,32,Research Scientist,4,Divorced,2695,7747,0,Yes,3
33,No,Travel_Frequently,553,Research & Development,Life Sciences,Female,74,Manager,2,Married,11878,23364,6,No,12
39,No,Travel_Rarely,117,Research & Development,Medical,Male,99,Manager,1,Married,17068,5355,1,Yes,21
43,No,Travel_Frequently,185,Research & Development,Life Sciences,Female,33,Laboratory Technician,4,Single,2455,10675,0,No,9
49,No,Travel_Rarely,1091,Research & Development,Technical Degree,Female,90,Healthcare Representative,3,Single,13964,17810,7,Yes,25
52,Yes,Travel_Rarely,723,Research & Development,Medical,Male,85,Research Scientist,2,Married,4941,17747,2,No,11
27,No,Travel_Rarely,1220,Research & Development,Life Sciences,Female,85,Research Scientist,2,Single,2478,20938,1,Yes,4
32,No,Travel_Rarely,588,Sales,Technical Degree,Female,65,Sales Executive,2,Married,5228,24624,1,Yes,13
27,No,Travel_Rarely,1377,Sales,Life Sciences,Male,74,Sales Executive,3,Single,4478,5242,1,Yes,5
31,No,Travel_Rarely,691,Sales,Marketing,Male,73,Sales Executive,4,Divorced,7547,7143,4,No,13
32,No,Travel_Rarely,1018,Research & Development,Medical,Female,74,Research Scientist,4,Single,5055,10557,7,No,10
28,Yes,Travel_Rarely,1157,Research & Development,Medical,Male,84,Research Scientist,4,Married,3464,24737,5,Yes,5
30,No,Travel_Rarely,1275,Research & Development,Medical,Female,64,Research Scientist,4,Married,5775,11934,1,No,11
31,No,Travel_Frequently,798,Research & Development,Life Sciences,Female,48,Manufacturing Director,3,Married,8943,14034,1,No,10
39,No,Travel_Frequently,672,Research & Development,Medical,Male,54,Manager,4,Married,19272,21141,1,No,21
39,Yes,Travel_Rarely,1162,Sales,Medical,Female,41,Sales Executive,3,Married,5238,17778,4,Yes,12
33,No,Travel_Frequently,508,Sales,Marketing,Male,46,Sales Executive,4,Single,4682,4317,3,No,9
47,No,Travel_Rarely,1482,Research & Development,Life Sciences,Male,42,Research Director,3,Married,18300,16375,4,No,21
43,No,Travel_Frequently,559,Research & Development,Life Sciences,Female,82,Laboratory Technician,3,Divorced,5257,6227,1,No,9
27,No,Non-Travel,210,Sales,Marketing,Male,73,Sales Executive,2,Married,6349,22107,0,Yes,6
54,No,Travel_Frequently,928,Research & Development,Life Sciences,Female,31,Research Scientist,3,Single,4869,16885,3,No,20
43,No,Travel_Rarely,1001,Research & Development,Life Sciences,Female,43,Healthcare Representative,1,Married,9985,9262,8,No,10
45,No,Travel_Rarely,549,Research & Development,Other,Male,75,Research Scientist,4,Married,3697,9278,9,No,12
40,No,Travel_Rarely,1124,Sales,Medical,Male,57,Sales Executive,4,Married,7457,13273,2,Yes,6
29,Yes,Travel_Rarely,318,Research & Development,Other,Male,77,Laboratory Technician,1,Married,2119,4759,1,Yes,7
29,No,Travel_Rarely,738,Research & Development,Other,Male,30,Laboratory Technician,4,Single,3983,7621,0,No,4
30,No,Travel_Rarely,570,Sales,Marketing,Female,30,Sales Executive,3,Divorced,6118,5431,1,No,10
27,No,Travel_Rarely,1130,Sales,Marketing,Female,56,Sales Executive,2,Married,6214,3415,1,No,8
37,No,Travel_Rarely,1192,Research & Development,Medical,Male,61,Manufacturing Director,4,Divorced,6347,23177,7,No,8
38,No,Travel_Rarely,343,Research & Development,Life Sciences,Male,92,Research Director,4,Divorced,11510,15682,0,Yes,12
31,No,Travel_Rarely,1232,Research & Development,Medical,Female,39,Manufacturing Director,4,Single,7143,25713,1,Yes,11
29,No,Travel_Rarely,144,Sales,Marketing,Female,39,Sales Executive,2,Divorced,8268,11866,1,Yes,7
35,No,Travel_Rarely,1296,Research & Development,Technical Degree,Male,62,Manufacturing Director,2,Single,8095,18264,0,No,17
23,No,Travel_Rarely,1309,Research & Development,Life Sciences,Male,83,Research Scientist,4,Divorced,2904,16092,1,No,4
41,No,Travel_Rarely,483,Research & Development,Medical,Male,95,Manufacturing Director,2,Single,6032,10110,6,Yes,8
47,No,Travel_Frequently,1309,Sales,Medical,Male,99,Sales Representative,3,Single,2976,25751,3,No,5
42,No,Travel_Rarely,810,Research & Development,Life Sciences,Female,44,Research Director,4,Single,15992,15901,2,No,16
29,No,Non-Travel,746,Sales,Life Sciences,Male,61,Sales Executive,3,Married,4649,16928,1,No,4
42,No,Travel_Rarely,544,Human Resources,Technical Degree,Male,52,Human Resources,3,Divorced,2696,24017,0,Yes,4
32,No,Travel_Rarely,1062,Research & Development,Medical,Female,75,Laboratory Technician,2,Married,2370,3956,1,No,8
48,No,Travel_Rarely,530,Sales,Medical,Female,91,Manager,3,Married,12504,23978,3,No,15
37,No,Travel_Rarely,1319,Research & Development,Medical,Male,51,Research Scientist,1,Divorced,5974,17001,4,Yes,13
30,No,Non-Travel,641,Sales,Technical Degree,Female,85,Sales Executive,3,Married,4736,6069,7,Yes,4
26,No,Travel_Rarely,933,Sales,Life Sciences,Male,57,Sales Executive,3,Married,5296,20156,1,No,8
42,No,Travel_Rarely,1332,Research & Development,Other,Male,98,Healthcare Representative,4,Single,6781,17078,3,No,14
21,Yes,Travel_Frequently,756,Sales,Technical Degree,Female,99,Sales Representative,2,Single,2174,9150,1,Yes,3
36,No,Non-Travel,845,Sales,Medical,Female,45,Sales Executive,4,Single,6653,15276,4,No,7
36,No,Travel_Frequently,541,Sales,Medical,Male,48,Sales Executive,4,Married,9699,7246,4,No,16
57,No,Travel_Rarely,593,Research & Development,Medical,Male,88,Healthcare Representative,3,Married,6755,2967,2,No,15
40,No,Travel_Rarely,1171,Research & Development,Life Sciences,Female,46,Laboratory Technician,3,Married,2213,22495,3,Yes,10
21,No,Non-Travel,895,Sales,Medical,Male,39,Sales Representative,4,Single,2610,2851,1,No,3
33,Yes,Travel_Rarely,350,Sales,Marketing,Female,34,Sales Representative,3,Single,2851,9150,1,Yes,1
37,No,Travel_Rarely,921,Research & Development,Medical,Female,98,Laboratory Technician,1,Married,3452,17663,6,No,17
46,No,Non-Travel,1144,Research & Development,Medical,Female,30,Manufacturing Director,3,Married,5258,16044,2,No,7
41,Yes,Travel_Frequently,143,Sales,Marketing,Male,56,Sales Executive,2,Single,9355,9558,1,No,8
50,No,Travel_Rarely,1046,Research & Development,Technical Degree,Male,100,Healthcare Representative,4,Single,10496,2755,6,No,20
40,Yes,Travel_Rarely,575,Sales,Marketing,Male,68,Sales Executive,3,Married,6380,6110,2,Yes,8
31,No,Travel_Rarely,408,Research & Development,Life Sciences,Male,42,Research Scientist,2,Single,2657,7551,0,Yes,3
21,Yes,Travel_Rarely,156,Sales,Life Sciences,Female,90,Sales Representative,2,Single,2716,25422,1,No,1
29,No,Travel_Rarely,1283,Research & Development,Life Sciences,Male,54,Research Scientist,4,Single,2201,18168,9,No,6
35,No,Travel_Rarely,755,Research & Development,Life Sciences,Male,97,Healthcare Representative,2,Single,6540,19394,9,No,10
27,No,Travel_Rarely,1469,Research & Development,Medical,Male,82,Laboratory Technician,2,Divorced,3816,17881,1,No,5
28,No,Travel_Rarely,304,Sales,Life Sciences,Male,92,Sales Executive,4,Single,5253,20750,1,No,7
49,No,Travel_Rarely,1261,Research & Development,Other,Male,31,Healthcare Representative,3,Single,10965,12066,8,No,26
51,No,Travel_Rarely,1178,Sales,Life Sciences,Female,87,Sales Executive,4,Married,4936,14862,4,No,18
36,No,Travel_Rarely,329,Research & Development,Life Sciences,Female,96,Research Scientist,3,Married,2543,11868,4,No,6
34,Yes,Non-Travel,1362,Sales,Marketing,Male,67,Sales Executive,4,Single,5304,4652,8,Yes,9
55,No,Travel_Rarely,1311,Research & Development,Life Sciences,Female,97,Manager,4,Single,16659,23258,2,Yes,30
24,No,Travel_Rarely,1371,Sales,Marketing,Female,77,Sales Executive,3,Divorced,4260,5915,1,Yes,5
30,No,Travel_Rarely,202,Sales,Technical Degree,Male,72,Sales Representative,2,Married,2476,17434,1,No,1
26,Yes,Travel_Frequently,575,Research & Development,Technical Degree,Male,73,Research Scientist,1,Single,3102,6582,0,No,7
22,No,Travel_Rarely,253,Research & Development,Medical,Female,43,Research Scientist,2,Married,2244,24440,1,No,2
36,No,Travel_Rarely,164,Sales,Medical,Male,61,Sales Executive,3,Married,7596,3809,1,No,10
30,Yes,Travel_Frequently,464,Research & Development,Technical Degree,Male,40,Research Scientist,4,Single,2285,3427,9,Yes,3
37,No,Travel_Rarely,1107,Research & Development,Life Sciences,Female,95,Laboratory Technician,1,Divorced,3034,26914,1,No,18
40,No,Travel_Rarely,759,Sales,Marketing,Female,46,Sales Executive,2,Divorced,5715,22553,7,No,8
42,No,Travel_Rarely,201,Research & Development,Life Sciences,Female,95,Laboratory Technician,1,Divorced,2576,20490,3,No,8
37,No,Travel_Rarely,1305,Research & Development,Life Sciences,Male,49,Manufacturing Director,2,Single,4197,21123,2,Yes,18
43,No,Travel_Rarely,982,Research & Development,Life Sciences,Male,59,Research Director,2,Divorced,14336,4345,1,No,25
40,No,Travel_Rarely,555,Research & Development,Medical,Female,78,Laboratory Technician,3,Married,3448,13436,6,No,20
54,No,Travel_Rarely,821,Research & Development,Medical,Male,86,Research Director,1,Married,19406,8509,4,No,24
34,No,Non-Travel,1381,Sales,Marketing,Female,72,Sales Executive,3,Married,6538,12740,9,No,6
31,No,Travel_Rarely,480,Research & Development,Medical,Female,31,Manufacturing Director,1,Married,4306,4156,1,No,13
43,No,Travel_Frequently,313,Research & Development,Medical,Male,61,Laboratory Technician,4,Married,2258,15238,7,No,8
43,No,Travel_Rarely,1473,Research & Development,Other,Female,74,Healthcare Representative,3,Divorced,4522,2227,4,Yes,8
25,No,Travel_Rarely,891,Sales,Life Sciences,Female,99,Sales Executive,4,Single,4487,12090,1,Yes,5
37,No,Non-Travel,1063,Research & Development,Medical,Female,72,Research Scientist,3,Married,4449,23866,3,Yes,15
31,No,Travel_Rarely,329,Research & Development,Life Sciences,Male,98,Laboratory Technician,1,Married,2218,16193,1,No,4
39,No,Travel_Frequently,1218,Research & Development,Life Sciences,Male,52,Manager,3,Divorced,19197,8213,1,Yes,21
56,No,Travel_Frequently,906,Sales,Life Sciences,Female,86,Sales Executive,1,Married,13212,18256,9,No,36
30,No,Travel_Rarely,1082,Sales,Technical Degree,Female,83,Sales Executive,3,Single,6577,19558,0,No,6
41,No,Travel_Rarely,645,Sales,Marketing,Male,49,Sales Executive,1,Married,8392,19566,1,No,10
28,No,Travel_Rarely,1300,Research & Development,Medical,Male,79,Laboratory Technician,1,Divorced,4558,13535,1,No,10
25,Yes,Travel_Rarely,688,Research & Development,Medical,Male,91,Laboratory Technician,1,Married,4031,9396,5,No,6
52,No,Travel_Rarely,319,Research & Development,Medical,Male,39,Manufacturing Director,3,Married,7969,19609,2,Yes,28
45,No,Travel_Rarely,192,Research & Development,Life Sciences,Male,69,Research Scientist,4,Married,2654,9655,3,No,8
52,No,Travel_Rarely,1490,Research & Development,Life Sciences,Female,30,Manager,4,Married,16555,10310,2,No,31
42,No,Travel_Frequently,532,Research & Development,Life Sciences,Female,92,Research Scientist,3,Divorced,4556,12932,2,No,19
30,No,Travel_Rarely,317,Research & Development,Life Sciences,Female,43,Manufacturing Director,4,Single,6091,24793,2,No,11
60,No,Travel_Rarely,422,Research & Development,Life Sciences,Female,41,Manager,1,Married,19566,3854,5,No,33
46,No,Travel_Rarely,1485,Research & Development,Medical,Female,87,Manufacturing Director,3,Divorced,4810,26314,2,No,19
42,No,Travel_Frequently,1368,Research & Development,Technical Degree,Female,88,Healthcare Representative,4,Married,4523,4386,0,No,7
24,Yes,Travel_Rarely,1448,Sales,Technical Degree,Female,62,Sales Representative,2,Single,3202,21972,1,Yes,6
34,Yes,Travel_Frequently,296,Sales,Marketing,Female,33,Sales Representative,3,Divorced,2351,12253,0,No,3
38,No,Travel_Frequently,1490,Research & Development,Life Sciences,Male,42,Laboratory Technician,4,Married,1702,12106,1,Yes,1
40,No,Travel_Rarely,1398,Sales,Life Sciences,Female,79,Manager,3,Married,18041,13022,0,No,21
26,No,Travel_Rarely,1349,Research & Development,Life Sciences,Female,90,Research Scientist,4,Divorced,2886,3032,1,No,3
30,No,Non-Travel,1400,Research & Development,Life Sciences,Male,53,Laboratory Technician,4,Married,2097,16734,4,No,9
29,No,Travel_Rarely,986,Research & Development,Medical,Male,93,Research Director,3,Married,11935,21526,1,No,10
29,Yes,Travel_Rarely,408,Research & Development,Technical Degree,Female,71,Research Scientist,2,Married,2546,18300,5,No,6
19,Yes,Travel_Rarely,489,Human Resources,Technical Degree,Male,52,Human Resources,4,Single,2564,18437,1,No,1
30,No,Non-Travel,1398,Sales,Other,Female,69,Sales Executive,1,Married,8412,2890,0,No,10
57,No,Travel_Rarely,210,Sales,Marketing,Male,56,Manager,4,Divorced,14118,22102,3,No,32
50,No,Travel_Rarely,1099,Research & Development,Life Sciences,Male,88,Manager,3,Married,17046,9314,0,No,28
30,No,Non-Travel,1116,Research & Development,Medical,Female,49,Laboratory Technician,4,Single,2564,7181,0,No,12
60,No,Travel_Frequently,1499,Sales,Marketing,Female,80,Sales Executive,1,Married,10266,2845,4,No,22
47,No,Travel_Rarely,983,Research & Development,Medical,Female,65,Manufacturing Director,4,Divorced,5070,7389,5,No,20
46,No,Travel_Rarely,1009,Research & Development,Life Sciences,Male,51,Research Director,3,Married,17861,2288,6,No,26
35,No,Travel_Rarely,144,Research & Development,Life Sciences,Male,46,Laboratory Technician,3,Single,4230,19225,0,No,6
54,No,Travel_Rarely,548,Research & Development,Life Sciences,Female,42,Laboratory Technician,3,Single,3780,23428,7,No,19
34,No,Travel_Rarely,1303,Research & Development,Life Sciences,Male,62,Research Scientist,3,Divorced,2768,8416,3,No,14
46,No,Travel_Rarely,1125,Sales,Marketing,Female,94,Sales Executive,4,Married,9071,11563,2,Yes,15
31,No,Travel_Rarely,1274,Research & Development,Life Sciences,Male,33,Manufacturing Director,2,Divorced,10648,14394,1,No,13
33,Yes,Travel_Rarely,1277,Research & Development,Medical,Male,56,Manager,3,Married,13610,24619,7,Yes,15
33,Yes,Travel_Rarely,587,Research & Development,Medical,Male,38,Laboratory Technician,4,Divorced,3408,6705,7,No,8
30,No,Travel_Rarely,413,Sales,Marketing,Male,57,Sales Representative,2,Single,2983,18398,0,No,4
35,No,Travel_Rarely,1276,Research & Development,Life Sciences,Male,72,Healthcare Representative,3,Married,7632,14295,4,Yes,10
31,Yes,Travel_Frequently,534,Research & Development,Life Sciences,Male,66,Healthcare Representative,3,Married,9824,22908,3,No,12
34,Yes,Travel_Frequently,988,Human Resources,Human Resources,Female,43,Human Resources,1,Divorced,9950,11533,9,Yes,11
42,No,Travel_Frequently,1474,Research & Development,Other,Male,97,Laboratory Technician,3,Married,2093,9260,4,No,8
36,No,Non-Travel,635,Sales,Medical,Male,32,Sales Executive,4,Single,9980,15318,1,No,10
22,Yes,Travel_Frequently,1368,Research & Development,Technical Degree,Male,99,Laboratory Technician,3,Single,3894,9129,5,No,4
48,No,Travel_Rarely,163,Sales,Marketing,Female,37,Sales Executive,4,Married,4051,19658,2,No,14
55,No,Travel_Rarely,1117,Sales,Life Sciences,Female,83,Manager,2,Single,16835,9873,3,No,37
41,No,Non-Travel,267,Sales,Life Sciences,Male,56,Sales Executive,4,Single,6230,13430,7,No,16
35,No,Travel_Rarely,619,Sales,Marketing,Male,85,Sales Executive,3,Married,4717,18659,9,No,15
40,No,Travel_Rarely,302,Research & Development,Life Sciences,Female,75,Manufacturing Director,3,Single,13237,20364,7,No,22
39,No,Travel_Frequently,443,Research & Development,Life Sciences,Female,48,Laboratory Technician,3,Married,3755,17872,1,No,8
31,No,Travel_Rarely,828,Sales,Life Sciences,Male,77,Sales Executive,4,Single,6582,8346,4,Yes,10
42,No,Travel_Rarely,319,Research & Development,Medical,Male,56,Manufacturing Director,1,Married,7406,6950,1,Yes,10
45,No,Travel_Rarely,561,Sales,Other,Male,61,Sales Executive,2,Married,4805,16177,0,No,9
26,Yes,Travel_Frequently,426,Human Resources,Life Sciences,Female,58,Human Resources,3,Divorced,2741,22808,0,Yes,8
29,No,Travel_Rarely,232,Research & Development,Technical Degree,Male,34,Manufacturing Director,4,Divorced,4262,22645,4,No,8
33,No,Travel_Rarely,922,Research & Development,Medical,Female,95,Research Director,3,Divorced,16184,22578,4,No,10
31,No,Travel_Rarely,688,Sales,Life Sciences,Male,44,Manager,4,Divorced,11557,25291,9,No,10
18,Yes,Travel_Frequently,1306,Sales,Marketing,Male,69,Sales Representative,2,Single,1878,8059,1,Yes,0
40,No,Non-Travel,1094,Sales,Other,Male,58,Sales Executive,1,Divorced,10932,11373,3,No,20
41,No,Non-Travel,509,Research & Development,Other,Female,62,Healthcare Representative,3,Single,6811,2112,2,Yes,10
26,No,Travel_Rarely,775,Sales,Medical,Male,45,Sales Executive,3,Divorced,4306,4267,5,No,8
35,No,Travel_Rarely,195,Sales,Medical,Female,80,Sales Executive,3,Single,4859,6698,1,No,5
34,No,Travel_Rarely,258,Sales,Life Sciences,Male,74,Sales Executive,4,Single,5337,19921,1,No,10
26,Yes,Travel_Rarely,471,Research & Development,Technical Degree,Male,66,Laboratory Technician,4,Single,2340,23213,1,Yes,1
37,No,Travel_Rarely,799,Research & Development,Technical Degree,Female,59,Manufacturing Director,4,Single,7491,23848,4,No,12
46,No,Travel_Frequently,1034,Research & Development,Medical,Female,86,Healthcare Representative,3,Married,10527,8984,5,No,28
41,No,Travel_Rarely,1276,Sales,Life Sciences,Female,91,Manager,1,Married,16595,5626,7,No,22
37,No,Non-Travel,142,Sales,Medical,Male,69,Sales Executive,2,Divorced,8834,24666,1,No,9
52,No,Travel_Rarely,956,Research & Development,Technical Degree,Male,78,Research Scientist,1,Divorced,5577,22087,3,Yes,18
32,Yes,Non-Travel,1474,Sales,Other,Male,60,Sales Executive,3,Married,4707,23914,8,No,6
24,No,Travel_Frequently,535,Sales,Medical,Male,38,Sales Representative,4,Married,2400,5530,0,No,3
38,No,Travel_Rarely,1495,Research & Development,Medical,Female,76,Healthcare Representative,3,Married,9824,22174,3,No,18
37,No,Travel_Rarely,446,Research & Development,Life Sciences,Female,65,Manufacturing Director,2,Married,6447,15701,6,No,8
49,No,Travel_Rarely,1245,Research & Development,Life Sciences,Male,58,Research Director,3,Divorced,19502,2125,1,Yes,31
24,No,Travel_Rarely,691,Research & Development,Medical,Male,89,Research Scientist,4,Married,2725,21630,1,Yes,6
26,No,Travel_Rarely,703,Sales,Marketing,Male,66,Sales Executive,2,Married,6272,7428,1,No,6
24,No,Travel_Rarely,823,Research & Development,Other,Male,94,Laboratory Technician,2,Married,2127,9100,1,No,1
50,No,Travel_Frequently,1246,Human Resources,Medical,Male,99,Manager,2,Married,18200,7999,1,No,32
25,No,Travel_Rarely,622,Sales,Medical,Male,40,Sales Representative,3,Married,2096,26376,1,No,7
24,Yes,Travel_Frequently,1287,Research & Development,Life Sciences,Female,55,Laboratory Technician,3,Married,2886,14168,1,Yes,6
30,Yes,Travel_Frequently,448,Sales,Life Sciences,Male,74,Sales Representative,1,Married,2033,14470,1,No,1
34,No,Travel_Rarely,254,Research & Development,Life Sciences,Male,83,Research Scientist,4,Married,3622,22794,1,Yes,6
31,Yes,Travel_Rarely,1365,Sales,Medical,Male,46,Sales Executive,1,Divorced,4233,11512,2,No,9
35,No,Travel_Rarely,538,Research & Development,Other,Male,54,Laboratory Technician,4,Single,3681,14004,4,No,9
31,No,Travel_Rarely,525,Sales,Medical,Male,66,Sales Executive,4,Divorced,5460,6219,4,No,13
27,No,Travel_Rarely,798,Research & Development,Medical,Female,66,Research Scientist,3,Divorced,2187,5013,0,No,6
